Filter: None
Blocker: bm25_3
K: 5
Time: 3.9413747787475586 seconds
Recall: 0.8988326848249028

(1, 'uniswap_v3_pool_USDC_ETH_005', ['uniswap', 'miniswap', 'mooniswap', 'slushpoolcom', 'pooltogether'], 'uniswap')
(0, 'aave_stableDebtTokenAddress-aRENFIL', ['stabledoin', 'xtoken', 'stablekoi', 'latoken', 'arenaswap'], 'aave')
(1, 'synthetix_SynthetixState', ['synthetix', 'synthetify', 'deltatheta', 'metronome', 'thetacash'], 'synthetix')
(1, 'Symbiosis (SIS)', ['symbiosisfinance', 'osmosis', 'symblox', 'basiscash', 'nemesisdao'], 'symbiosisfinance')
(1, 'badger_native.sushiDiggWbtc-vault', ['badger', 'avault', 'revault', 'vaultka', 'sushiswap'], 'badger')
(1, 'curvefinance_Emergency-VotingApp', ['convergence', 'curve', 'currency', 'votium', 'crafting'], 'curve')
(1, 'vesper_vBetaETH-pool', ['vesper', 'slushpoolcom', 'metapool', 'pooltogether', 'bethash'], 'vesper')
(1, 'LAToken', ['latoken', 'xtoken', 'tokencan', 'tokenize', 'tokenomy'], 'latoken')
(1, 'badger_native', ['badger', 'ledger', 'primitive', 'mcdex', 'helix'], 'badger')
(1, 'curvefinance_ankrETH-LiquidityGaugeV2', ['liquidityfinance', 'steakhutliquidity', 'liquid', 'curve', 'liquity'], 'curve')
(1, 'Blender.io', ['blenderio', 'tenderswap', 'deribit', 'deridex', 'klend'], 'blenderio')
(1, 'CryptoBounty.com', ['cryptobountycom', 'cryptoblades', 'cryptocom', 'cryptox', 'acryptos'], 'cryptobountycom')
(1, 'dydx_OperationImpl1', ['dydx', 'based', 'bscstation', 'ratiofinance', 'simplecoin'], 'dydx')
(1, 'harvestfinance_CRVRENWBTC Pool', ['harvestfinance', 'wbtc', 'vestafinance', 'btfinance', 'revestfinance'], 'harvestfinance')
(1, 'synthetix_SynthiREN', ['synthetix', 'synthetify', 'metronome', 'pantherswap', 'siren'], 'synthetix')
(1, 'curvefinance_3Pool-StableSwap3Pool', ['neopin', 'dpool', 'jpool', 'curve', 'pancakeswapnew'], 'curve')
(1, 'synthetix_SynthetixDebtShare', ['synthetix', 'synthetify', 'metronome', 'thetacash', 'thetaswap'], 'synthetix')
(0, 'fei_Chainlink TRIBE-ETH', ['zenlinkastar', 'oraichain', 'multichain', 'beethovenxoptimism', 'bankofchain'], 'feiprotocol')
(1, 'synthetix_ProxysRUNE', ['synthetix', 'synthetify', 'proxy', 'metronome', 'thetacash'], 'synthetix')
(1, 'compound_wbtc2_irm', ['compound', 'dogecompounder', 'morphoaave', 'wbtc', 'revert'], 'compound')
(1, 'synthetix_ProxysDASH', ['synthetix', 'synthetify', 'proxy', 'thetacash', 'midasdao'], 'synthetix')
(1, 'Huobi 20', ['huobi', 'huobijapan', 'huobikorea', 'yobit', 'lobis'], 'huobi')
(1, 'bitfinex Verge hot wallet', ['bitfinex', 'dovewallet', 'ambirewallet', 'wallex', 'myetherwallet'], 'bitfinex')
